Strategy,Avg. Baseline %HITS@N,Avg. Reform %HITS@N,% Imp. %HITS@N,Avg. Baseline MAP,Avg. Reform MAP,% Imp. MAP,Avg. Baseline MRR,Avg. Reform MRR,% Imp. MRR
BLIZZARD--TITLE*T_OTHER*CODE*EB,0.2279305897,0.2730002643,0.1977342079,0.058586386,0.0949581899,0.6208234755,0.0744906485,0.1228665808,0.6494228914
BLIZZARD--TITLE*S2R*CODE*T_EB,0.2279305897,0.2729241412,0.1974002331,0.058586386,0.099618577,0.7003707473,0.0744906485,0.1276316001,0.7133909117
OB*T_TITLE*T_S2R*EB,0.2279305897,0.2728726182,0.1971741862,0.058586386,0.0910760588,0.5545601106,0.0744906485,0.1157200016,0.5534836116
BLIZZARD--TITLE*T_OTHER*T_S2R*CODE*T_EB,0.2279305897,0.2728543414,0.1970940001,0.058586386,0.0962976472,0.6436864215,0.0744906485,0.1246252632,0.67303233
OB*T_OTHER*T_S2R*T_EB,0.2279305897,0.2728356464,0.1970119797,0.058586386,0.089210477,0.522716846,0.0744906485,0.1138254882,0.5280507082
TITLE*T_OB*T_OTHER*S2R*EB,0.2279305897,0.2726497751,0.1961965062,0.058586386,0.0931730196,0.590352741,0.0744906485,0.117958362,0.5835324884
OB*EB,0.2279305897,0.2725634774,0.1958178925,0.058586386,0.0894285573,0.5264392175,0.0744906485,0.1139864272,0.5302112355
OB*T_OTHER*T_S2R*CODE*EB,0.2279305897,0.2724540631,0.195337859,0.058586386,0.0921422061,0.5727579794,0.0744906485,0.1164002272,0.5626153021
TITLE*T_OTHER*S2R,0.2279305897,0.2724327002,0.1952441336,0.058586386,0.0920683071,0.5714966112,0.0744906485,0.1164241638,0.5629366391
BLIZZARD--OB*T_OTHER*CODE*T_EB,0.2279305897,0.2723827137,0.1950248278,0.058586386,0.0913106159,0.5585637223,0.0744906485,0.1169488733,0.5699806042
BLIZZARD--OB*T_TITLE*CODE*EB,0.2279305897,0.2722992278,0.1946585501,0.058586386,0.0957250532,0.6339129225,0.0744906485,0.1243102634,0.6688036137
BLIZZARD--OB*T_OTHER,0.2279305897,0.2721104402,0.1938302822,0.058586386,0.0900751159,0.5374752052,0.0744906485,0.1127093335,0.5130668852
OB*T_TITLE*S2R*CODE*EB,0.2279305897,0.272086483,0.1937251746,0.058586386,0.0940704487,0.6056707881,0.0744906485,0.1167059421,0.5667193733
OB*T_S2R*EB,0.2279305897,0.2720255962,0.1934580458,0.058586386,0.0899763224,0.5357889169,0.0744906485,0.1143396253,0.5349527445
BLIZZARD--TITLE*S2R*CODE,0.2279305897,0.2720074566,0.1933784619,0.058586386,0.0990666222,0.6909495346,0.0744906485,0.1272126554,0.7077667868
BLIZZARD--TITLE*T_OTHER*CODE*T_EB,0.2279305897,0.2719492835,0.1931232393,0.058586386,0.094794777,0.6180342126,0.0744906485,0.1228032051,0.6485721044
BLIZZARD--OB*T_TITLE*EB,0.2279305897,0.2719293426,0.1930357523,0.058586386,0.099425342,0.6970724547,0.0744906485,0.1281874458,0.7208528643
TITLE*S2R*EB,0.2279305897,0.2716694122,0.1918953598,0.058586386,0.0950109487,0.6217240061,0.0744906485,0.1187894014,0.5946887809
BLIZZARD--OB*T_TITLE*T_S2R*CODE*EB,0.2279305897,0.2716273807,0.1917109548,0.058586386,0.0948811732,0.6195088933,0.0744906485,0.1230404947,0.6517575991
OB*T_TITLE*CODE*EB,0.2279305897,0.2716169036,0.1916649886,0.058586386,0.092771113,0.5834926724,0.0744906485,0.115968776,0.5568232838
BLIZZARD--OB*T_TITLE*S2R*CODE*EB,0.2279305897,0.2715833407,0.191517738,0.058586386,0.0962787099,0.6433631842,0.0744906485,0.1239966122,0.6645930023
OB*T_TITLE*T_OTHER*S2R*CODE*T_EB,0.2279305897,0.2714750501,0.1910426349,0.058586386,0.0916252781,0.5639346318,0.0744906485,0.1138740113,0.5287021066
BLIZZARD--OB*T_OTHER*T_S2R*CODE,0.2279305897,0.2714401112,0.1908893473,0.058586386,0.089586579,0.5291364608,0.0744906485,0.1154905723,0.550403636
TITLE*T_OB*S2R*EB,0.2279305897,0.2713961049,0.1906962785,0.058586386,0.0908530935,0.5507543582,0.0744906485,0.1144549678,0.5365011601
TITLE*T_EB,0.2279305897,0.2713257373,0.1903875547,0.058586386,0.0967783463,0.651891384,0.0744906485,0.1245250587,0.6716871341
BLIZZARD--TITLE*T_OTHER*T_S2R*CODE,0.2279305897,0.2712475195,0.1900443896,0.058586386,0.0955897638,0.6316036925,0.0744906485,0.1236677606,0.6601783324
BLIZZARD--OB*T_TITLE*T_S2R*EB,0.2279305897,0.2712312538,0.1899730271,0.058586386,0.0998293838,0.7039689687,0.0744906485,0.1285350518,0.7255193019
TITLE*EB,0.2279305897,0.2711597708,0.1896594098,0.058586386,0.0961812027,0.6416988515,0.0744906485,0.1245011666,0.6713663949
BLIZZARD--TITLE*T_S2R*CODE*EB,0.2279305897,0.2709674438,0.1888156134,0.058586386,0.0983959203,0.67950145,0.0744906485,0.1267832831,0.7020026763
OB*T_TITLE*T_OTHER*CODE*T_EB,0.2279305897,0.2709576506,0.1887726476,0.058586386,0.0903379516,0.5419614974,0.0744906485,0.1132182559,0.5198989163
TITLE*S2R*T_EB,0.2279305897,0.270876777,0.1884178309,0.058586386,0.0949064049,0.6199395671,0.0744906485,0.1186347099,0.592612124
BLIZZARD--OB*T_OTHER*S2R*CODE,0.2279305897,0.2707840458,0.1880109912,0.058586386,0.0904707583,0.5442283514,0.0744906485,0.1161317048,0.5590105229
BLIZZARD--TITLE*CODE*EB,0.2279305897,0.2707726283,0.187960899,0.058586386,0.0956552253,0.6327210419,0.0744906485,0.1235904058,0.6591398825
BLIZZARD--TITLE*CODE*T_EB,0.2279305897,0.2706543367,0.1874419183,0.058586386,0.0954798329,0.6297273017,0.0744906485,0.1234826436,0.657693229
