Strategy,Avg. Baseline %HITS@N,Avg. Reform %HITS@N,% Imp. %HITS@N,Avg. Baseline MAP,Avg. Reform MAP,% Imp. MAP,Avg. Baseline MRR,Avg. Reform MRR,% Imp. MRR
BLIZZARD--OB*T_TITLE*T_S2R*CODE,0.2279305897,0.2647769433,0.1616560271,0.058586386,0.0898065622,0.532891312,0.0744906485,0.1151857992,0.5463122085
OB*T_TITLE*S2R*CODE,0.2279305897,0.264742852,0.1615064584,0.058586386,0.0901028542,0.5379486644,0.0744906485,0.1107920374,0.4873281368
OB*T_S2R*T_EB,0.2279305897,0.2647289257,0.1614453596,0.058586386,0.0875307379,0.4940456956,0.0744906485,0.1105889608,0.4846019339
OB*T_TITLE*T_S2R,0.2279305897,0.2646396135,0.1610535202,0.058586386,0.0874441629,0.4925679635,0.0744906485,0.109650803,0.4720076303
BLIZZARD--OB*T_TITLE*S2R*CODE*T_EB,0.2279305897,0.2646322078,0.1610210291,0.058586386,0.0913066253,0.5584956077,0.0744906485,0.11609039,0.5584558916
TITLE*T_S2R,0.2279305897,0.2645788747,0.1607870407,0.058586386,0.0940927728,0.6060518339,0.0744906485,0.1211375596,0.6262116396
BLIZZARD--OB*T_TITLE*CODE,0.2279305897,0.2643179805,0.1596424193,0.058586386,0.0901369339,0.5385303652,0.0744906485,0.1156610532,0.552692258
BLIZZARD--TITLE*OB*OTHER,0.2279305897,0.2642162537,0.1591961132,0.058586386,0.084520706,0.4426680274,0.0744906485,0.108003247,0.4498900097
BLIZZARD--OB*T_TITLE*S2R,0.2279305897,0.2642083126,0.1591612732,0.058586386,0.0959452077,0.637670698,0.0744906485,0.1217208594,0.6340421497
OB*T_TITLE*T_S2R*CODE,0.2279305897,0.2642016482,0.1591320346,0.058586386,0.0893707064,0.5254517717,0.0744906485,0.1110487366,0.4907741956
BLIZZARD--OB*T_TITLE*CODE*T_EB,0.2279305897,0.2641512153,0.1589107702,0.058586386,0.090531476,0.5452647292,0.0744906485,0.1160339468,0.5576981694
OB*T_EB,0.2279305897,0.2639848525,0.1581808867,0.058586386,0.0867968836,0.481519675,0.0744906485,0.1098074741,0.4741108626
BLIZZARD--TITLE*OB*OTHER*T_EB,0.2279305897,0.2639738478,0.1581326056,0.058586386,0.0850003655,0.4508552448,0.0744906485,0.1087012957,0.4592609668
BLIZZARD--OB*T_TITLE*T_S2R*CODE*T_EB,0.2279305897,0.2637763555,0.1572661477,0.058586386,0.0898227745,0.5331680373,0.0744906485,0.1150042715,0.5438752902
TITLE*T_OB*T_OTHER*S2R*CODE*EB,0.2279305897,0.2637724876,0.1572491782,0.058586386,0.0945190271,0.6133274897,0.0744906485,0.1186683166,0.5930632777
BLIZZARD--OB*T_TITLE*T_S2R*T_EB,0.2279305897,0.2636891951,0.1568837488,0.058586386,0.0949472073,0.6206360158,0.0744906485,0.1208390887,0.6222048153
BLIZZARD--OB*T_TITLE*S2R*T_EB,0.2279305897,0.2633751458,0.1555059201,0.058586386,0.0966186446,0.6491654651,0.0744906485,0.1222761119,0.6414961393
OB*T_TITLE*CODE,0.2279305897,0.2632023857,0.1547479698,0.058586386,0.0888993619,0.5174064807,0.0744906485,0.1099793073,0.4764176384
OB*T_OTHER*S2R*CODE,0.2279305897,0.2628065291,0.1530112277,0.058586386,0.0871037858,0.4867581305,0.0744906485,0.1082770706,0.4535659548
OB*T_OTHER*T_S2R*CODE,0.2279305897,0.2627611696,0.1528122222,0.058586386,0.0861686228,0.4707960086,0.0744906485,0.1078044782,0.4472216369
TITLE*T_OTHER*S2R*CODE*EB,0.2279305897,0.2626722799,0.1524222364,0.058586386,0.0925403483,0.5795537938,0.0744906485,0.1164047426,0.5626759187
BLIZZARD--OB*OTHER*S2R*CODE*EB,0.2279305897,0.2620719096,0.1497882313,0.058586386,0.0836287109,0.4274427311,0.0744906485,0.1070047288,0.4364853979
OB*S2R*CODE*T_EB,0.2279305897,0.2620529828,0.1497051938,0.058586386,0.0898309321,0.5333072784,0.0744906485,0.1110447016,0.4907200281
OB*T_OTHER*CODE,0.2279305897,0.2619737731,0.1493576772,0.058586386,0.0850975451,0.4525139852,0.0744906485,0.1064270968,0.4287309745
BLIZZARD--OB*OTHER*T_TITLE*S2R*CODE*EB,0.2279305897,0.2619133143,0.149092426,0.058586386,0.0840453592,0.434554423,0.0744906485,0.1073074606,0.4405494222
BLIZZARD--OB*S2R*CODE*T_EB,0.2279305897,0.2618307623,0.1487302456,0.058586386,0.0901441899,0.5386542167,0.0744906485,0.1149941301,0.5437391459
BLIZZARD--TITLE*T_OB*OTHER*S2R*CODE*EB,0.2279305897,0.2618210025,0.1486874266,0.058586386,0.0853811232,0.4573543272,0.0744906485,0.1088706483,0.4615344414
OB*S2R,0.2279305897,0.2617856481,0.1485323163,0.058586386,0.0857451233,0.4635673755,0.0744906485,0.1060820958,0.4240995079
OB*T_S2R*CODE*T_EB,0.2279305897,0.2617643822,0.1484390161,0.058586386,0.0887897972,0.5155363423,0.0744906485,0.1108978766,0.4887489757
BLIZZARD--OB*OTHER*T_TITLE*T_S2R*CODE*EB,0.2279305897,0.2617009801,0.1481608521,0.058586386,0.083828425,0.4308516136,0.0744906485,0.1072406724,0.4396528234
BLIZZARD--TITLE*T_OB*OTHER*S2R*EB,0.2279305897,0.261488975,0.1472307219,0.058586386,0.0844943903,0.4422188495,0.0744906485,0.1070649538,0.4372938889
OB*CODE*T_EB,0.2279305897,0.261464798,0.1471246502,0.058586386,0.0886599724,0.5133203867,0.0744906485,0.1103308942,0.4811375183
BLIZZARD--OB*OTHER*T_TITLE*T_S2R*EB,0.2279305897,0.2613116162,0.1464525957,0.058586386,0.0836193445,0.4272828572,0.0744906485,0.1072840612,0.440235296
BLIZZARD--OB*S2R*T_EB,0.2279305897,0.261132349,0.1456660966,0.058586386,0.0959060083,0.6370016099,0.0744906485,0.1213458708,0.6290081147
BLIZZARD--TITLE*T_OB*OTHER*S2R,0.2279305897,0.2611283651,0.145648618,0.058586386,0.0837922774,0.4302346167,0.0744906485,0.105886594,0.4214749926
BLIZZARD--TITLE*T_OB*OTHER*S2R*CODE*T_EB,0.2279305897,0.2610688254,0.1453873995,0.058586386,0.08426785,0.4383520769,0.0744906485,0.1071029166,0.4378035203
BLIZZARD--TITLE*T_OB*OTHER*S2R*CODE,0.2279305897,0.2610359586,0.1452432029,0.058586386,0.0840694559,0.4349657241,0.0744906485,0.1070234283,0.4367364295
TITLE*T_OB*S2R*CODE*EB,0.2279305897,0.2609573172,0.1448981794,0.058586386,0.0934976678,0.5958940986,0.0744906485,0.1165070385,0.5640491912
BLIZZARD--OB*OTHER*T_TITLE*S2R*EB,0.2279305897,0.2609167509,0.1447202031,0.058586386,0.0838455549,0.4311440006,0.0744906485,0.1066887988,0.4322441934
BLIZZARD--OB*OTHER*S2R*EB,0.2279305897,0.2608418078,0.1443914049,0.058586386,0.0834000352,0.4235395086,0.0744906485,0.1063088252,0.427143237
BLIZZARD--TITLE*T_OB*OTHER*S2R*T_EB,0.2279305897,0.2607611351,0.1440374697,0.058586386,0.084021298,0.4341437257,0.0744906485,0.1060073105,0.4230955514
OB*T_S2R,0.2279305897,0.2607058629,0.1437949741,0.058586386,0.0841803682,0.4368588658,0.0744906485,0.1052269089,0.412619047
TITLE*T_OTHER*S2R*CODE*T_EB,0.2279305897,0.2606311173,0.1434670425,0.058586386,0.0918439777,0.5676675738,0.0744906485,0.1154991438,0.5505187041
TITLE*T_OB*T_OTHER*S2R*CODE*T_EB,0.2279305897,0.2604361758,0.1426117757,0.058586386,0.0936614963,0.5986904575,0.0744906485,0.1176446056,0.5793204655
BLIZZARD--OB*OTHER*T_S2R*CODE*EB,0.2279305897,0.2603240316,0.1421197651,0.058586386,0.0829891077,0.4165254646,0.0744906485,0.1065783703,0.4307617463
BLIZZARD--OB*S2R*CODE,0.2279305897,0.2600965812,0.1411218718,0.058586386,0.0883533809,0.5080872342,0.0744906485,0.1125913134,0.5114825242
BLIZZARD--TITLE*T_OB*OTHER*T_S2R*CODE*T_EB,0.2279305897,0.2599416188,0.1404420055,0.058586386,0.0833120806,0.4220382276,0.0744906485,0.1063390331,0.4275487636
BLIZZARD--OB*OTHER*T_TITLE*CODE*EB,0.2279305897,0.2598503512,0.1400415871,0.058586386,0.0827791693,0.4129420659,0.0744906485,0.1059120746,0.4218170574
BLIZZARD--TITLE*T_OB*OTHER*T_S2R*CODE*EB,0.2279305897,0.2598037399,0.1398370894,0.058586386,0.0844844885,0.4420498378,0.0744906485,0.1075841523,0.4442638705
BLIZZARD--OB*S2R,0.2279305897,0.2597563068,0.1396289861,0.058586386,0.0936589046,0.5986462192,0.0744906485,0.1184699436,0.5904002185
BLIZZARD--OB*OTHER*T_S2R*EB,0.2279305897,0.2597204277,0.1394715733,0.058586386,0.0828160794,0.4135720762,0.0744906485,0.1066125655,0.4312208001
OB,0.2279305897,0.2596309007,0.1390787915,0.058586386,0.0828561626,0.4142562499,0.0744906485,0.1038409227,0.3940128703
BLIZZARD--OB*T_S2R*T_EB,0.2279305897,0.2593480952,0.1378380392,0.058586386,0.09355193,0.59682029,0.0744906485,0.1183958978,0.5894061901
BLIZZARD--OB*CODE*T_EB,0.2279305897,0.2592276724,0.1373097078,0.058586386,0.0887763169,0.5153062488,0.0744906485,0.1136728324,0.5260013798
TITLE*T_OB*T_OTHER*S2R*CODE,0.2279305897,0.2592197973,0.1372751573,0.058586386,0.0923219647,0.5758262442,0.0744906485,0.1149594574,0.543273682
BLIZZARD--TITLE*T_OB*OTHER*T_S2R*CODE,0.2279305897,0.2591128643,0.1368060101,0.058586386,0.0831277292,0.4188915678,0.0744906485,0.1061694846,0.425272659
BLIZZARD--OB*T_EB,0.2279305897,0.2589989633,0.1363062922,0.058586386,0.0928841306,0.5854217478,0.0744906485,0.1176613495,0.579545243
BLIZZARD--OB*T_S2R*CODE*T_EB,0.2279305897,0.2589818462,0.1362311947,0.058586386,0.088249437,0.5063130362,0.0744906485,0.1129615748,0.5164530999
TITLE*T_OB*T_OTHER*T_S2R*CODE*EB,0.2279305897,0.2589010879,0.1358768834,0.058586386,0.0931618774,0.5901625556,0.0744906485,0.1159887344,0.5570912157
BLIZZARD--OB*OTHER*T_TITLE*EB,0.2279305897,0.2588421092,0.1356181265,0.058586386,0.0829230898,0.4153986172,0.0744906485,0.1062697388,0.4266185221
BLIZZARD--TITLE*T_OB*OTHER*T_S2R,0.2279305897,0.2587657273,0.1352830158,0.058586386,0.0832067541,0.420240429,0.0744906485,0.1057815565,0.4200649157
BLIZZARD--OB*T_S2R,0.2279305897,0.2587175604,0.1350716933,0.058586386,0.0914936212,0.5616874054,0.0744906485,0.1159294341,0.5562951381
BLIZZARD--TITLE*T_OB*OTHER*T_S2R*EB,0.2279305897,0.258599336,0.1345530074,0.058586386,0.0840602277,0.4348082096,0.0744906485,0.1069179003,0.435319768
BLIZZARD--TITLE*T_OB*OTHER*T_S2R*T_EB,0.2279305897,0.2582669814,0.1330948678,0.058586386,0.0834261339,0.4239849828,0.0744906485,0.1061057748,0.4244173856
TITLE*T_OB*T_OTHER*CODE*EB,0.2279305897,0.258239025,0.1329722146,0.058586386,0.0928015042,0.5840114136,0.0744906485,0.1161975794,0.5598948561
TITLE*T_OB*S2R*CODE*T_EB,0.2279305897,0.2581321124,0.1325031571,0.058586386,0.092762294,0.5833421422,0.0744906485,0.1154557911,0.5499367167
BLIZZARD--OB*OTHER*CODE*EB,0.2279305897,0.2581056328,0.1323869831,0.058586386,0.0817547096,0.3954557551,0.0744906485,0.1046953436,0.4054830471
TITLE*S2R*CODE*EB,0.2279305897,0.2580512826,0.1321485321,0.058586386,0.0937696688,0.6005368336,0.0744906485,0.1166140089,0.5654852151
TITLE*T_OTHER*T_S2R*CODE*EB,0.2279305897,0.2580229846,0.1320243803,0.058586386,0.090831642,0.5503882074,0.0744906485,0.1139737732,0.5300413617
OB*S2R*CODE,0.2279305897,0.2579280022,0.1316076642,0.058586386,0.0854252817,0.4581080592,0.0744906485,0.10546885,0.4158669872
OB*T_S2R*CODE,0.2279305897,0.2578305115,0.1311799432,0.058586386,0.0843452466,0.4396731432,0.0744906485,0.1050729564,0.4105523121
TITLE*T_OTHER*S2R*CODE,0.2279305897,0.2578140645,0.1311077854,0.058586386,0.0914546806,0.5610227351,0.0744906485,0.1150150747,0.5440203177
BLIZZARD--OB*T_S2R*CODE,0.2279305897,0.2576860868,0.1305463087,0.058586386,0.0865997171,0.4781542771,0.0744906485,0.1109545933,0.4895103685
BLIZZARD--OB,0.2279305897,0.2574784919,0.1296355274,0.058586386,0.0897123702,0.5312835664,0.0744906485,0.1138443246,0.528303578
TITLE*T_OB*S2R*CODE,0.2279305897,0.2573311812,0.1289892311,0.058586386,0.0921795138,0.5733947768,0.0744906485,0.1136858329,0.5261759056
BLIZZARD--OB*OTHER*EB,0.2279305897,0.2568583084,0.1269145962,0.058586386,0.0819435806,0.3986795585,0.0744906485,0.1050759225,0.4105921299
BLIZZARD--OB*CODE,0.2279305897,0.2567894939,0.1266126863,0.058586386,0.0859358705,0.4668232041,0.0744906485,0.1102573608,0.4801503688
BLIZZARD--OB*OTHER*S2R*CODE*T_EB,0.2279305897,0.2567803025,0.1265723607,0.058586386,0.0816395263,0.3934897141,0.0744906485,0.104468814,0.4024419998
BLIZZARD--OB*OTHER*T_TITLE*T_S2R*CODE,0.2279305897,0.2567707901,0.126530627,0.058586386,0.0810487044,0.3834050854,0.0744906485,0.1041827073,0.3986011594
BLIZZARD--OB*OTHER*T_TITLE*T_S2R*CODE*T_EB,0.2279305897,0.2567511834,0.1264446064,0.058586386,0.0812415349,0.386696473,0.0744906485,0.1040219562,0.3964431553
BLIZZARD--TITLE*T_OB*OTHER*CODE*EB,0.2279305897,0.2567270635,0.126338785,0.058586386,0.0826280393,0.4103624562,0.0744906485,0.105225347,0.4125980798
OB*CODE,0.2279305897,0.2566839865,0.1261497933,0.058586386,0.0839113752,0.4322674748,0.0744906485,0.1041714735,0.3984503502
BLIZZARD--OB*OTHER*T_TITLE*S2R*CODE*T_EB,0.2279305897,0.2566726411,0.1261000179,0.058586386,0.0817477162,0.395336386,0.0744906485,0.1043775891,0.40121735
BLIZZARD--TITLE*T_OB*OTHER*CODE*T_EB,0.2279305897,0.2566325147,0.1259239713,0.058586386,0.081880828,0.3976084459,0.0744906485,0.1042421581,0.399399256
BLIZZARD--OB*OTHER*T_TITLE*S2R*CODE,0.2279305897,0.2565652457,0.125628842,0.058586386,0.0814144402,0.3896477604,0.0744906485,0.1041312597,0.3979105005
BLIZZARD--OB*OTHER*T_TITLE*T_S2R,0.2279305897,0.2564711804,0.125216149,0.058586386,0.0808130315,0.3793824284,0.0744906485,0.1039257197,0.3951512282
BLIZZARD--OB*OTHER*T_TITLE*S2R,0.2279305897,0.2563996048,0.1249021253,0.058586386,0.0812362508,0.3866062797,0.0744906485,0.1035346066,0.389900729
BLIZZARD--OB*OTHER*T_S2R*CODE*T_EB,0.2279305897,0.2562483208,0.124238397,0.058586386,0.0808165739,0.3794428944,0.0744906485,0.1039687991,0.3957295482
BLIZZARD--TITLE*T_OB*OTHER*EB,0.2279305897,0.2562160733,0.1240969175,0.058586386,0.0823552123,0.4057056234,0.0744906485,0.1046727882,0.405180252
BLIZZARD--TITLE*T_OB*OTHER*CODE,0.2279305897,0.2561778365,0.1239291611,0.058586386,0.081723388,0.3949211333,0.0744906485,0.1039526352,0.3955125553
BLIZZARD--TITLE*OTHER*S2R*EB,0.2279305897,0.2559968915,0.123135301,0.058586386,0.0841728946,0.4367313005,0.0744906485,0.1067844139,0.4335277793
TITLE*T_OB*T_S2R*CODE*EB,0.2279305897,0.2557310715,0.1219690687,0.058586386,0.0909132371,0.5517809385,0.0744906485,0.1131347411,0.5187777719
BLIZZARD--OB*OTHER*T_TITLE*T_S2R*T_EB,0.2279305897,0.2557091837,0.1218730403,0.058586386,0.0810610174,0.383615254,0.0744906485,0.1041154158,0.3976978041
TITLE*S2R*CODE*T_EB,0.2279305897,0.2556070441,0.1214249232,0.058586386,0.0930058872,0.5874999896,0.0744906485,0.1153724401,0.5488177705
BLIZZARD--OB*OTHER*T_TITLE*S2R*T_EB,0.2279305897,0.2555210003,0.1210474234,0.058586386,0.0815850309,0.3925595422,0.0744906485,0.1037980875,0.3934378291
BLIZZARD--TITLE*T_OB*OTHER*T_EB,0.2279305897,0.2554006008,0.1205191947,0.058586386,0.0822067038,0.4031707588,0.0744906485,0.104272788,0.3998104472
TITLE*T_OB*T_OTHER*CODE*T_EB,0.2279305897,0.2553284331,0.1202025732,0.058586386,0.0920827088,0.5717424309,0.0744906485,0.1150612722,0.5446404963
BLIZZARD--TITLE*T_OB*OTHER,0.2279305897,0.2552477761,0.1198487069,0.058586386,0.0819315906,0.3984749038,0.0744906485,0.1036419626,0.3913419293
BLIZZARD--OB*OTHER*S2R*T_EB,0.2279305897,0.2552420073,0.1198233974,0.058586386,0.0814609475,0.3904415848,0.0744906485,0.1038223585,0.3937636546
BLIZZARD--TITLE*OTHER*S2R,0.2279305897,0.2551105185,0.1192465165,0.058586386,0.0829987987,0.416690878,0.0744906485,0.1052293971,0.4126524497
BLIZZARD--OB*OTHER*T_TITLE*CODE,0.2279305897,0.2550913068,0.119162229,0.058586386,0.0796946383,0.3602927868,0.0744906485,0.1020804495,0.3703793905
BLIZZARD--TITLE*OTHER*S2R*T_EB,0.2279305897,0.2550116014,0.1188125374,0.058586386,0.0836538204,0.42787132,0.0744906485,0.1058624037,0.42115025
TITLE*T_OTHER*CODE*EB,0.2279305897,0.2550070944,0.1187927639,0.058586386,0.0881946926,0.5053786138,0.0744906485,0.1110035293,0.4901673111
BLIZZARD--OB*OTHER*T_S2R*T_EB,0.2279305897,0.2548814821,0.1182416649,0.058586386,0.0806907582,0.3772953699,0.0744906485,0.1041042251,0.3975475745
TITLE*T_OB*T_OTHER*T_S2R*CODE*T_EB,0.2279305897,0.2547896667,0.1178388432,0.058586386,0.0923443298,0.5762079895,0.0744906485,0.1149536008,0.5431950611
BLIZZARD--OB*OTHER*T_TITLE*CODE*T_EB,0.2279305897,0.2547739032,0.1177696838,0.058586386,0.0800087858,0.3656549099,0.0744906485,0.1024246488,0.3750000959
BLIZZARD--TITLE*OTHER*S2R*CODE*EB,0.2279305897,0.2546065835,0.1170356022,0.058586386,0.0844356971,0.4412170265,0.0744906485,0.1076578015,0.4452525742
TITLE*T_OB*T_OTHER*T_S2R*CODE,0.2279305897,0.2543830228,0.1160547742,0.058586386,0.0909439925,0.5523058957,0.0744906485,0.1119984864,0.5035241162
TITLE*T_OB*CODE*EB,0.2279305897,0.2542053565,0.1152752986,0.058586386,0.0923001812,0.5754544255,0.0744906485,0.1145762504,0.5381293183
TITLE*T_OTHER*T_S2R*CODE*T_EB,0.2279305897,0.2541763862,0.1151481974,0.058586386,0.0901516633,0.538781779,0.0744906485,0.1131082327,0.5184219099
TITLE*T_OB*T_OTHER*CODE,0.2279305897,0.253921157,0.1140284299,0.058586386,0.0902588552,0.5406114161,0.0744906485,0.1113835932,0.4952694804
BLIZZARD--OB*OTHER*T_TITLE,0.2279305897,0.2538965633,0.1139205302,0.058586386,0.0797148109,0.3606371084,0.0744906485,0.10205156,0.3699915643
BLIZZARD--OB*OTHER*CODE*T_EB,0.2279305897,0.2538827022,0.1138597173,0.058586386,0.0793669794,0.3547000375,0.0744906485,0.1016464645,0.3645533572
BLIZZARD--TITLE*OTHER*T_S2R*EB,0.2279305897,0.2536760464,0.112953056,0.058586386,0.0835572874,0.4262236171,0.0744906485,0.1067567211,0.4331560174
BLIZZARD--TITLE*OTHER*S2R*CODE*T_EB,0.2279305897,0.2535591517,0.1124402039,0.058586386,0.0836968785,0.4286062715,0.0744906485,0.1064881846,0.4295510483
BLIZZARD--TITLE*OTHER*S2R*CODE,0.2279305897,0.2534752683,0.1120721822,0.058586386,0.0831152785,0.4186790499,0.0744906485,0.1059453014,0.42226311
TITLE*T_S2R*CODE*EB,0.2279305897,0.2534641164,0.1120232554,0.058586386,0.0913544439,0.5593118137,0.0744906485,0.1147345564,0.5402544986
BLIZZARD--TITLE*OTHER*EB,0.2279305897,0.2534097149,0.1117845796,0.058586386,0.082162523,0.4024166449,0.0744906485,0.1048110225,0.4070359786
TITLE*T_OB*T_S2R*CODE,0.2279305897,0.2532782004,0.1112075864,0.058586386,0.0898057052,0.5328766844,0.0744906485,0.1105766829,0.4844371095
BLIZZARD--TITLE*OTHER*T_S2R*T_EB,0.2279305897,0.2532588079,0.1111225056,0.058586386,0.0829681934,0.4161684825,0.0744906485,0.106052901,0.4237075816
TITLE*T_OTHER*CODE*T_EB,0.2279305897,0.253214651,0.1109287759,0.058586386,0.0878068868,0.4987592288,0.0744906485,0.1103624366,0.4815609594
BLIZZARD--TITLE*OTHER*T_S2R,0.2279305897,0.2531950289,0.1108426879,0.058586386,0.0821624104,0.4024147238,0.0744906485,0.1049986735,0.4095551006
TITLE*CODE*EB,0.2279305897,0.2531001884,0.1104265939,0.058586386,0.0927389815,0.5829442259,0.0744906485,0.1172083073,0.573463377
TITLE*T_OB*T_S2R*CODE*T_EB,0.2279305897,0.2530775413,0.1103272345,0.058586386,0.0904366887,0.5436468232,0.0744906485,0.1126099666,0.5117329341
TITLE*T_OTHER*T_S2R*CODE,0.2279305897,0.2529258585,0.1096617562,0.058586386,0.0896058634,0.5294656221,0.0744906485,0.1123884548,0.5087592476
TITLE*T_OB*CODE*T_EB,0.2279305897,0.2528855764,0.1094850265,0.058586386,0.0919716009,0.5698459506,0.0744906485,0.1139705064,0.5299975062
BLIZZARD--OB*OTHER*T_TITLE*T_EB,0.2279305897,0.2528503373,0.1093304221,0.058586386,0.0800982091,0.3671812597,0.0744906485,0.102767274,0.3795996688
TITLE*T_OB*CODE,0.2279305897,0.2527688081,0.1089727289,0.058586386,0.0912792394,0.5580281618,0.0744906485,0.1118479896,0.5015037704
TITLE*S2R*CODE,0.2279305897,0.2524546793,0.1075945517,0.058586386,0.093267523,0.5919658009,0.0744906485,0.1157035606,0.5532628989
BLIZZARD--TITLE*OTHER*T_S2R*CODE*T_EB,0.2279305897,0.2523438646,0.1071083744,0.058586386,0.0828978796,0.4149683087,0.0744906485,0.1059677206,0.4225640773
BLIZZARD--TITLE*OTHER*T_EB,0.2279305897,0.252300471,0.1069179934,0.058586386,0.0820379126,0.4002896942,0.0744906485,0.1046633476,0.4050535171
BLIZZARD--TITLE*OTHER,0.2279305897,0.2520085351,0.1056371831,0.058586386,0.0811819377,0.3856792201,0.0744906485,0.103359477,0.3875497012
BLIZZARD--TITLE*OTHER*T_S2R*CODE*EB,0.2279305897,0.2518389232,0.1048930446,0.058586386,0.0835479823,0.4260647899,0.0744906485,0.1066229337,0.4313599871
BLIZZARD--OB*OTHER*T_EB,0.2279305897,0.2516748658,0.1041732754,0.058586386,0.0795427362,0.3576999975,0.0744906485,0.1020763791,0.3703247481
TITLE*CODE*T_EB,0.2279305897,0.251547025,0.1036123993,0.058586386,0.092422863,0.5775484584,0.0744906485,0.1163319646,0.5616989112
BLIZZARD--TITLE*OTHER*T_S2R*CODE,0.2279305897,0.2510837807,0.1015800075,0.058586386,0.0822171416,0.4033489203,0.0744906485,0.1052129561,0.4124317375
BLIZZARD--TITLE*OTHER*CODE*EB,0.2279305897,0.2509103007,0.1008188986,0.058586386,0.0818057996,0.3963278015,0.0744906485,0.1045689358,0.4037860854
TITLE*T_OTHER*CODE,0.2279305897,0.2504527299,0.0988113977,0.058586386,0.0869363323,0.4838998982,0.0744906485,0.1089914085,0.4631555867
BLIZZARD--TITLE*OTHER*CODE*T_EB,0.2279305897,0.2502554619,0.0979459239,0.058586386,0.0815042081,0.3911799927,0.0744906485,0.1042310505,0.3992501427
BLIZZARD--TITLE*OTHER*CODE,0.2279305897,0.2501578693,0.0975177561,0.058586386,0.080732305,0.3780045242,0.0744906485,0.103181269,0.385157347
BLIZZARD--OB*OTHER*S2R*CODE,0.2279305897,0.2499823296,0.0967476105,0.058586386,0.0785523541,0.3407953522,0.0744906485,0.1012170058,0.358788087
TITLE*CODE,0.2279305897,0.249756657,0.0957575169,0.058586386,0.0929399598,0.5863746861,0.0744906485,0.1169595279,0.5701236363
TITLE*T_S2R*CODE*T_EB,0.2279305897,0.2497381069,0.0956761319,0.058586386,0.0906430758,0.5471696053,0.0744906485,0.1136345245,0.5254871156
TITLE*T_S2R*CODE,0.2279305897,0.2493156145,0.0938225311,0.058586386,0.0908094739,0.5500098242,0.0744906485,0.1136634885,0.5258759433
BLIZZARD--OB*OTHER*S2R,0.2279305897,0.2493060323,0.0937804911,0.058586386,0.078390143,0.3380266012,0.0744906485,0.1005870484,0.3503312217
BLIZZARD--OB*OTHER*T_S2R*CODE,0.2279305897,0.2487954231,0.0915402949,0.058586386,0.0778162694,0.3282312599,0.0744906485,0.1005799134,0.3502354388
BLIZZARD--OB*OTHER*T_S2R,0.2279305897,0.2481123832,0.0885435937,0.058586386,0.0776604507,0.3255716211,0.0744906485,0.1003871612,0.3476478362
BLIZZARD--OB*OTHER*CODE,0.2279305897,0.2466364592,0.0820682716,0.058586386,0.0762792626,0.3019963814,0.0744906485,0.0983407338,0.3201755637
BLIZZARD--OB*OTHER,0.2279305897,0.2451427066,0.07551473,0.058586386,0.0764623842,0.3051220486,0.0744906485,0.098467826,0.3218817129
BLIZZARD--EB,0.2279305897,0.2417226733,0.060510016,0.058586386,0.0825805836,0.4095524437,0.0744906485,0.1044129214,0.4016916692
BLIZZARD--T_EB,0.2279305897,0.2360204584,0.0354926852,0.058586386,0.0793555212,0.35450446,0.0744906485,0.0987197016,0.3252630181
TITLE*OB*OTHER*S2R*EB,0.2279305897,0.2279305897,0,0.058586386,0.0585900269,6.21452680781837E-05,0.0744906485,0.0745059936,0.0002060012
T_OB*T_TITLE*T_OTHER*S2R*CODE*EB,0.2279305897,0.2265989279,-0.0058424005,0.058586386,0.0769046747,0.3126714229,0.0744906485,0.0972165794,0.3050843482
BLIZZARD--T_OB*T_TITLE*T_OTHER*S2R*CODE*EB,0.2279305897,0.2260514261,-0.0082444557,0.058586386,0.0747798499,0.2764031869,0.0744906485,0.0994747817,0.3353995929
TITLE*OB*OTHER*S2R*CODE*EB,0.2279305897,0.2259647944,-0.0086245348,0.058586386,0.0628911486,0.0734771816,0.0744906485,0.0800116871,0.0741172047
TITLE*OB*OTHER*S2R*T_EB,0.2279305897,0.2255356007,-0.0105075366,0.058586386,0.0576807614,-0.0154579362,0.0744906485,0.0734102706,-0.0145035374
TITLE*OB*OTHER*T_S2R*EB,0.2279305897,0.2255014091,-0.0106575452,0.058586386,0.058296048,-0.004955726,0.0744906485,0.0742800058,-0.0028277736
TITLE*OB*OTHER*EB,0.2279305897,0.2249873082,-0.0129130604,0.058586386,0.0577502989,-0.0142710148,0.0744906485,0.0736453405,-0.0113478409
T_OB*T_TITLE*T_OTHER*S2R*EB,0.2279305897,0.2246698517,-0.0143058375,0.058586386,0.0708196505,0.2088072892,0.0744906485,0.0893654176,0.1996863952
TITLE*OB*OTHER*S2R,0.2279305897,0.2243256198,-0.0158160862,0.058586386,0.0578761747,-0.0121224643,0.0744906485,0.0734515056,-0.0139499783
T_OB*T_OTHER*S2R*EB,0.2279305897,0.2238133041,-0.0180637693,0.058586386,0.0701243758,0.1969397756,0.0744906485,0.0884923126,0.1879653941
BLIZZARD--T_OB*T_TITLE*T_OTHER*S2R*EB,0.2279305897,0.2237686001,-0.0182598993,0.058586386,0.0740019511,0.2631253792,0.0744906485,0.0952543847,0.278742857
T_OB*T_OTHER*S2R*CODE*EB,0.2279305897,0.2236339948,-0.0188504533,0.058586386,0.0757858919,0.2935751289,0.0744906485,0.0961321814,0.2905268423
